Part;Value;Device;Package;Description;THT/SMT;Manufacturer Part Nr.;Manufacturer;Distributor Part Nr.;Distributor;wird von uns bestellt/schon vorhanden;Bestückung durch Habemus
12VIN;TERMINAL;TERMINAL;TERMINAL;Schraubklemme zur Stromversorgung;THT;;;;;;
B1;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B2;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B3;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B4;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B5;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B6;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B7;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B8;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B9;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B10;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B11;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B12;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B13;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B14;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B15;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B16;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B17;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B18;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B19;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B20;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B21;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B22;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B23;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B24;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B25;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B26;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B27;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B28;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B29;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B30;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B31;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B32;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
C1;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C2;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C3;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C4;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C5;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C6;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C7;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C8;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C9;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C10;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C11;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C12;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C13;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C14;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C15;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C16;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C17;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C18;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C19;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C20;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C21;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C22;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C23;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C24;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C25;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C26;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C27;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C28;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C29;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C30;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C31;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C32;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
D1;1N5404;1N5400;DO201-15;DIODE;THT;;;;;;
D2;GF1;GF1;SMA-DO214AC;DIODE;SMT;ES2BA;Taiwan Semiconductor;ES 2BA SMD;Reichelt;x;x
D3;GF1;GF1;SMA-DO214AC;DIODE;SMT;ES2BA;Taiwan Semiconductor;ES 2BA SMD;Reichelt;x;x
FAN1;;JST-PH2;JST-PH2;Fan Header;THT;;;;;;
FAN2;;JST-PH2;JST-PH2;Fan Header;THT;;;;;;
GLATTCAP;1000uF/6.3V;GLATTCAP;GLATTCAP;WCAP-PTHT Aluminum Polymer Capacitors;THT;;;;;;
HAUPTPROGRAMM;TEENSY3.6_FULL;TEENSY3.6_FULL;TEENSY3.6_FULL;Microcontroller Board;THT;;;;;;
KABEL-PLATINEOBEN;2x5shrouded;CONN_05X2;2X5-SHROUDED(3D);Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections;THT;;;;;;
LED33;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED34;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED35;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED36;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED37;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED38;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED39;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED40;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED41;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED42;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED43;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED44;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED45;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED46;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED47;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED48;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED49;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED50;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED51;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED52;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED53;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED54;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED55;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED56;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED57;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED58;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED59;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED60;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED61;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED62;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED63;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
LED64;WS2812B;WS2812B;WS2812B;RGB-LED;SMT;1655;Adafruit;"EXP-R15-315";EXP-TECH;x;x
MOSFET;IRF540;IRF540;TO220BV;HEXFET Power MOSFET;THT;;;;;;
MOTOREN1/2;MOTORTREIBER;MOTORTREIBER;MOTORTREIBER;Pololu Dual MC33926 Motor Driver;THT;;;;;;
MOTOREN3/4;MOTORTREIBER;MOTORTREIBER;MOTORTREIBER;Pololu Dual MC33926 Motor Driver;THT;;;;;;
Q1;MOSFET-NCHANNELBSS138;MOSFET-NCHANNELBSS138;SOT23;Common NMOSFET Parts;SMT;BSS138;ON Semiconductor / Fairchild;512-BSS138;Mouser;;x
Q2;MOSFET-NCHANNELBSS138;MOSFET-NCHANNELBSS138;SOT23;Common NMOSFET Parts;SMT;BSS138;ON Semiconductor / Fairchild;512-BSS138;Mouser;;x
R1;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R2;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R3;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R4;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R5;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R6;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R7;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R8;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R9;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R10;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R11;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R12;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R13;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R14;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R15;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R16;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R17;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R18;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R19;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R20;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R21;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R22;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R23;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R24;4.7k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW08054K70FKEBC;Vishay;71-CRCW08054K70FKEBC;Mouser;;x
R25;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R26;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R27;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R28;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
R29;10k;R-EU_R0805;R0805;RESISTOR, European symbol;SMT;CRCW080510K0FKEAC;Vishay;71-CRCW080510K0FKEAC;Mouser;;x
SCHUSS;TERMINAL;TERMINAL;TERMINAL;Schraubklemme (Schuss);THT;;;;;;
SCHUSSSICHERUNG;SICHERUNGSHALTER;SICHERUNGSHALTER;SICHERUNGSHALTER;5x20mm Feinsicherungshalter;THT;;;;;;
SENSORIK;TEENSY3.6_FULL;TEENSY3.6_FULL;TEENSY3.6_FULL;Microcontroller Board;THT;;;;;;
SHIFTER1;74HC1G125GW,125;74HC1G125GW,125;SOT65P212X110-5N;NXP 74HC1G125GW,125 Buffer & Line Driver, 3-State, 2  6 V, 5-Pin TSSOP;SMT;"74HC1G125GW,12574HC1G125GW,125";Nexperia;771-74HC1G125GW-G;Mouser;;x
SHIFTER2;74HC1G125GW,125;74HC1G125GW,125;SOT65P212X110-5N;NXP 74HC1G125GW,125 Buffer & Line Driver, 3-State, 2  6 V, 5-Pin TSSOP;SMT;"74HC1G125GW,125";Nexperia;771-74HC1G125GW-G;Mouser;;x
SICHERUNG5V;SICHERUNGSHALTER;SICHERUNGSHALTER;SICHERUNGSHALTER;5x20mm Feinsicherungshalter;THT;;;;;;
SICHERUNGMOTOR;SICHERUNGSHALTER;SICHERUNGSHALTER;SICHERUNGSHALTER;5x20mm Feinsicherungshalter;THT;;;;;;
SPW;POLOLU5V9A;POLOLU5V9A;POLOLU5V9A;Pololu D24V90F5 Step-Down 5V, 9A Voltage Regulator;THT;;;;;;
STECKERTINKERBOARD;4-Pin-Header;CONN_04;1X04;Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections;THT;;;;;;
SWITCH1;KIPPY;KIPPY;KIPPY;Schalter für Programmeinstellungen;THT;;;;;;
SWITCH2;KIPPY;KIPPY;KIPPY;Schalter für Programmeinstellungen;THT;;;;;;
SWITCH3;KIPPY;KIPPY;KIPPY;Schalter für Programmeinstellungen;THT;;;;;;
SWITCH4;KIPPY;KIPPY;KIPPY;Schalter für Programmeinstellungen;THT;;;;;;